Date,Baseline,AU & AD & S
2020-11-03,-24180.0,-22679.99999999994
2020-11-04,-23130.0,-21629.99999999994
2020-11-05,-21240.0,-21629.99999999994
2020-11-06,-20740.0,-21129.99999999994
2020-11-09,-5610.0,-21129.99999999994
2020-11-10,-6090.0,-21609.99999999994
2020-11-11,-10380.0,-21609.99999999994
2020-11-12,-12680.0,-23909.99999999994
2020-11-13,-9840.0,-23909.99999999994
2020-11-16,-3530.0,-17599.99999999994
2020-11-17,-3700.0,-17599.99999999994
2020-11-18,-4300.0,-18199.99999999994
2020-11-19,-6480.0,-18199.99999999994
2020-11-20,-7130.0,-18849.99999999994
2020-11-23,-2220.0,-18849.99999999994
2020-11-24,3290.0,-13339.999999999942
2020-11-25,890.0,-13339.999999999942
2020-11-27,-1070.0,-15299.999999999942
2020-11-30,-190.0,-15299.999999999942
2020-12-01,1240.0,-13869.999999999942
2020-12-02,5410.0,-13869.999999999942
2020-12-03,5040.0,-14239.999999999942
2020-12-04,5940.0,-14239.999999999942
2020-12-07,5480.0,-14699.999999999942
2020-12-08,5520.0,-14699.999999999942
2020-12-09,6230.0,-13989.999999999942
2020-12-10,6490.0,-13989.999999999942
2020-12-11,27520.0,7040.000000000058
2020-12-14,21100.0,7040.000000000058
2020-12-15,25740.0,11680.000000000058
2020-12-16,24920.0,11680.000000000058
2020-12-17,25350.0,12110.000000000058
2020-12-18,24690.0,12110.000000000058
2020-12-21,22490.0,9910.000000000058
2020-12-22,22250.0,9910.000000000058
2020-12-23,25350.0,13010.000000000058
2020-12-24,25530.0,13010.000000000058
2020-12-28,30660.0,18140.00000000006
2020-12-29,29100.0,18140.00000000006
2020-12-30,32970.0,22010.00000000006
2020-12-31,32980.0,22010.00000000006
2021-01-04,29480.0,18510.00000000006
2021-01-05,30240.0,18510.00000000006
2021-01-06,30920.0,19190.00000000006
2021-01-07,30380.0,19190.00000000006
2021-01-08,30490.0,19300.00000000006
2021-01-11,30890.0,19300.00000000006
2021-01-12,27790.0,16200.000000000058
2021-01-13,27920.0,16200.000000000058
2021-01-14,25230.0,13510.000000000058
2021-01-15,23240.0,13510.000000000058
2021-01-19,24060.0,14330.000000000058
2021-01-20,25440.0,14330.000000000058
2021-01-21,23080.0,11970.000000000058
2021-01-22,24580.0,11970.000000000058
2021-01-25,23690.0,11080.000000000058
2021-01-26,21360.0,11080.000000000058
2021-01-27,14830.0,4550.000000000058
2021-01-28,23680.0,4550.000000000058
2021-01-29,19970.0,840.0000000000582
2021-02-01,22770.0,840.0000000000582
2021-02-02,28760.0,6830.000000000058
2021-02-03,28230.0,6830.000000000058
2021-02-04,32030.0,10630.000000000058
2021-02-05,32960.0,10630.000000000058
2021-02-08,41800.0,19470.00000000006
2021-02-09,40010.0,19470.00000000006
2021-02-10,41430.0,20890.00000000006
2021-02-11,42710.0,20890.00000000006
2021-02-12,39470.0,17650.00000000006
2021-02-16,38150.0,17650.00000000006
2021-02-17,38240.0,17740.00000000006
2021-02-18,34800.0,17740.00000000006
2021-02-19,35450.0,18390.00000000006
2021-02-22,43560.0,18390.00000000006
2021-02-23,48890.0,23720.00000000006
2021-02-24,49310.0,23720.00000000006
2021-02-25,42780.0,17190.00000000006
2021-02-26,40840.0,17190.00000000006
2021-03-01,46780.0,23130.00000000006
2021-03-02,45740.0,23130.00000000006
2021-03-03,44060.0,21450.00000000006
2021-03-04,39830.0,21450.00000000006
2021-03-05,41790.0,23410.00000000006
2021-03-08,53710.0,23410.00000000006
2021-03-09,46310.0,16010.000000000058
2021-03-10,46860.0,16010.000000000058
2021-03-11,48550.0,17700.00000000006
2021-03-12,48960.0,17700.00000000006
2021-03-15,48560.0,17300.00000000006
2021-03-16,46040.0,17300.00000000006
2021-03-17,47040.0,18300.00000000006
2021-03-18,44080.0,18300.00000000006
2021-03-19,42940.0,17160.00000000006
2021-03-22,44660.0,17160.00000000006
2021-03-23,40530.0,13030.000000000058
2021-03-24,36520.0,13030.000000000058
2021-03-25,38710.0,15220.000000000058
2021-03-26,37720.0,15220.000000000058
2021-03-29,36650.0,14150.000000000058
2021-03-30,37330.0,14150.000000000058
2021-03-31,36320.0,13140.000000000058
2021-04-01,40770.0,13140.000000000058
2021-04-05,40300.0,12670.000000000058
2021-04-06,41530.0,12670.000000000058
2021-04-07,39360.0,10500.000000000058
2021-04-08,39120.0,10500.000000000058
2021-04-09,39690.0,11070.000000000058
2021-04-12,38290.0,11070.000000000058
2021-04-13,37290.0,10070.000000000058
2021-04-14,39260.0,10070.000000000058
2021-04-15,37730.0,8540.000000000058
2021-04-16,39060.0,8540.000000000058
2021-04-19,39230.0,8710.000000000058
2021-04-20,34590.0,8710.000000000058
2021-04-21,34910.0,9030.000000000058
2021-04-22,34560.0,9030.000000000058
2021-04-23,34820.0,9290.000000000058
2021-04-26,36070.0,9290.000000000058
2021-04-27,36440.0,9660.000000000058
2021-04-28,35190.0,9660.000000000058
2021-04-29,37130.0,11600.000000000058
2021-04-30,37820.0,11600.000000000058
2021-05-03,37310.0,11090.000000000058
2021-05-04,36050.0,11090.000000000058
2021-05-05,33310.0,8350.000000000058
2021-05-06,33590.0,8350.000000000058
2021-05-07,36640.0,11400.000000000058
2021-05-10,36100.0,11400.000000000058
2021-05-11,33470.0,8770.000000000058
2021-05-12,29650.0,8770.000000000058
2021-05-13,30140.0,9260.000000000058
2021-05-14,25500.0,9260.000000000058
2021-05-17,21880.0,5640.000000000058
2021-05-18,21480.0,5640.000000000058
2021-05-19,21070.0,5230.000000000058
2021-05-20,23160.0,5230.000000000058
2021-05-21,24200.0,6270.000000000058
2021-05-24,26110.0,6270.000000000058
2021-05-25,27970.0,8130.000000000058
2021-05-26,28270.0,8130.000000000058
2021-05-27,30840.0,10700.000000000058
2021-05-28,30450.0,10700.000000000058
2021-06-01,30640.0,10890.000000000058
2021-06-02,28800.0,10890.000000000058
2021-06-03,28040.0,10130.000000000058
2021-06-04,28980.0,10130.000000000058
2021-06-07,28790.0,9940.000000000058
2021-06-08,28130.0,9940.000000000058
2021-06-09,27840.0,9650.000000000058
2021-06-10,28370.0,9650.000000000058
2021-06-11,29180.0,10460.000000000058
2021-06-14,29980.0,10460.000000000058
2021-06-15,27660.0,8140.000000000058
2021-06-16,26460.0,8140.000000000058
2021-06-17,26450.0,8130.000000000058
2021-06-18,24220.0,8130.000000000058
2021-06-21,25770.0,9680.000000000058
2021-06-22,25300.0,9680.000000000058
2021-06-23,27130.0,11510.000000000058
2021-06-24,29730.0,11510.000000000058
2021-06-25,30150.0,11930.000000000058
2021-06-28,28370.0,11930.000000000058
2021-06-29,25730.0,9290.000000000058
2021-06-30,27570.0,9290.000000000058
2021-07-01,29060.0,10780.000000000058
2021-07-02,28910.0,10780.000000000058
2021-07-06,25490.0,7360.000000000058
2021-07-07,24620.0,7360.000000000058
2021-07-08,24600.0,7340.000000000058
2021-07-09,28840.0,7340.000000000058
2021-07-12,36180.0,14680.000000000058
2021-07-13,35450.0,14680.000000000058
2021-07-14,35220.0,14450.000000000058
2021-07-15,35950.0,14450.000000000058
2021-07-16,31110.0,9610.000000000058
